rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
108,C,107.9,7D5pYnh8TAEkfzENsPDWMhBPoLjFkcS7ayCNnoX7fr1R,https://gmgn.ai/sol/address/7D5pYnh8TAEkfzENsPDWMhBPoLjFkcS7ayCNnoX7fr1R,,,,1,1,0.500,2,2,2,1,2026-05-10T08:47:29.000Z,2026-05-11T05:33:46.294Z,119579,0,821.4686921692341,0,0.0035797739167373237,gmgn,smart_degen,bullx|gmgn,bundler,,
109,C,107.8,8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,https://gmgn.ai/sol/address/8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,Cooker.hl | Kms.eth | 版本之子 | Cooker,CookerFlips,Cooker.hl | Kms.eth | 版本之子 | Cooker,1,1,0.333,3,3,1.03,1,2026-05-10T22:46:54.000Z,2026-05-11T05:34:06.311Z,28902,0,72.14747346243,0,0.00005523101510999217,gmgn|okx,renowned|kol,kol|axiom|photon|trojan|gmgn|wash_trader,bundler|paper_hands,,
110,B,107.3,1aC2FgH1tujX87Bv9yMVbda2sPiRDNCsjMJoJjw3n6C,https://gmgn.ai/sol/address/1aC2FgH1tujX87Bv9yMVbda2sPiRDNCsjMJoJjw3n6C,,,,2,2,0.400,5,5,1.71,1,2026-05-10T21:17:04.000Z,2026-05-11T05:33:50.227Z,125441,0,-9.23585531868,0,0.00008348367046194768,gmgn,smart_degen,axiom,paper_hands,,
111,C,107,DZAa55HwXgv5hStwaTEJGXZz1DhHejvpb7Yr762urXam,https://gmgn.ai/sol/address/DZAa55HwXgv5hStwaTEJGXZz1DhHejvpb7Yr762urXam,ozark,ohzarke,ozark,1,1,0.333,3,3,3,3.9,2026-05-07T06:13:16.000Z,2026-05-08T08:07:21.505Z,131302,0,1398.3751000687914,0,0.0002549070508598524,gmgn,renowned,kol|axiom|bullx,bundler|paper_hands|transfer_in,,
112,C,106.6,9LxMdvs1m8QRFvFuhvzzMXykAkpaHTJhktULdpBztUMm,https://gmgn.ai/sol/address/9LxMdvs1m8QRFvFuhvzzMXykAkpaHTJhktULdpBztUMm,,,,1,1,0.167,6,5,2.05,1,2026-05-07T03:42:39.000Z,2026-05-11T05:33:58.280Z,131302,0,418.97823543921,0,0.00015566038371979098,gmgn,smart_degen,axiom,bundler|paper_hands,,
113,C,106.3,DknQuSA3PvfcuNiF46mJDE4fX6HPNkJKXovRfkV2eqoR,https://gmgn.ai/sol/address/DknQuSA3PvfcuNiF46mJDE4fX6HPNkJKXovRfkV2eqoR,,,,1,1,0.500,2,2,2,3.9,2026-05-07T02:52:58.000Z,2026-05-08T08:07:29.508Z,131302,0,2327.317333538272,0,0.002415333303488492,gmgn,smart_degen,,,,
114,C,106.1,81CvxP9PiF53bQSeJFqMCseTMZ85UuU7chKDmtnZXhNy,https://gmgn.ai/sol/address/81CvxP9PiF53bQSeJFqMCseTMZ85UuU7chKDmtnZXhNy,,,,1,1,0.500,2,2,2,3.9,2026-05-08T05:24:04.000Z,2026-05-08T08:07:33.542Z,91917,0,-158.43597257534,0,0.0002500611155773166,gmgn|okx,smart_degen|smart_money,,,,
115,C,105.9,CDL22EuTKoWeXpiStMWu9pLqLNSn5NkMG3nKoz1YRVUf,https://gmgn.ai/sol/address/CDL22EuTKoWeXpiStMWu9pLqLNSn5NkMG3nKoz1YRVUf,Thokani 🕊️,thokani,Thokani 🕊️,1,1,0.250,4,4,4,1,2026-05-10T20:15:30.000Z,2026-05-11T05:34:06.310Z,28902,0,-477.11309649672,0,0.00023593254316402074,gmgn,smart_degen,padre|fomo,bundler|paper_hands,,
116,C,105.9,CkakfbMYpsXd7FRNtz9mZqik1dWjk9EmmxuVhUTQcmq8,https://gmgn.ai/sol/address/CkakfbMYpsXd7FRNtz9mZqik1dWjk9EmmxuVhUTQcmq8,,,,1,1,0.250,4,4,4,1,2026-05-10T21:00:44.000Z,2026-05-11T05:34:06.309Z,28902,0,-68.38131894806,0,0.00015431522019514202,gmgn,smart_degen,axiom,bundler|paper_hands,,
117,C,105.9,Hb9SqR4DU79HbZ4EBRpfgFREvea6hxgScjxKvojzA3EV,https://gmgn.ai/sol/address/Hb9SqR4DU79HbZ4EBRpfgFREvea6hxgScjxKvojzA3EV,,,,1,1,0.250,4,4,4,1,2026-05-10T06:56:25.000Z,2026-05-11T05:33:50.226Z,119579,0,-6.21819933742,0,0.00011911037441408649,gmgn,smart_degen,fresh_wallet|axiom|padre,paper_hands|bundler,,
